SKU SITO,NOTE,STATO,SKU AMAZON,COD ARTICOLO,NOME GESTIONALE,QTY GIACENZA,QTY VENDUTA,TIPO MATCH,SCORE,TITOLO AMAZON,PREZZO AMAZON,ASIN,URL AMAZON,DESCR. AMAZON
FAN1076103,,✅ SU WOOCOMMERCE,FAN1076103,FAN1076103,POLVERE DECOLORANTE VIOLET LIGHTENER 450 GR.,2,6,DIRETTO (SKU=COD),100,FANOLA Polvere Decolorante Viola Compatta 450g,194,0704F5GWVV4,https://www.amazon.it/dp/B096XV7SCV,
FAN1076104,,✅ SU WOOCOMMERCE,FAN1076104,FAN1076104,POLVERE DECOLORANTE GREEN LIGHTENER 450 GR.,13,13,DIRETTO (SKU=COD),100,FANOLA Polvere Decolorante Verde Compatta 450g,193,0704F574AZA,https://www.amazon.it/dp/B096YHCMS9,
FAN1076131,,✅ SU WOOCOMMERCE,FAN1076131,FAN1076131,COLOR ZOOM 1.0 100 ML.,16,21,DIRETTO (SKU=COD),100,CREMA COLORE PER CAPELLI 100 ML COLORZOOM 10 MINUTI 1.0 NERO-FANOLA,126,0506HM8UG0S,https://www.amazon.it/dp/B09QNVTYJH,
FAN1076132,,✅ SU WOOCOMMERCE,FAN1076132,FAN1076132,COLOR ZOOM 3.0 100 ML.,20,12,DIRETTO (SKU=COD),100,CREMA COLORE PER CAPELLI 100 ML COLORZOOM 10 MINUTI 3.0 CASTANO SCURO-FANOLA,126,0506HMC0ZGK,https://www.amazon.it/dp/B09QNN4KRJ,
FAN1076133,,✅ SU WOOCOMMERCE,FAN1076133,FAN1076133,COLOR ZOOM 4.0 100 ML.,31,20,DIRETTO (SKU=COD),100,CREMA COLORE PER CAPELLI 100 ML COLORZOOM 10 MINUTI 4.0 CASTANO-FANOLA,126,0506HM9CTRZ,https://www.amazon.it/dp/B09QP1RYY3,
FAN1076134,,✅ SU WOOCOMMERCE,FAN1076134,FAN1076134,COLOR ZOOM 5.0 100 ML.,30,35,DIRETTO (SKU=COD),100,CREMA COLORE PER CAPELLI 100 ML COLORZOOM 10 MINUTI 5.0 CASTANO CHIARO-FANOLA,126,0506HM3FI2J,https://www.amazon.it/dp/B09QP1P71J,
FAN1076135,,✅ SU WOOCOMMERCE,FAN1076135,FAN1076135,COLOR ZOOM 6.0 100 ML.,30,47,DIRETTO (SKU=COD),100,CREMA COLORE PER CAPELLI 100 ML COLORZOOM 10 MINUTI 6.0 BIONDO SCURO-FANOLA,126,0506HM89UMA,https://www.amazon.it/dp/B09QNSRPGM,
FAN1076136,,✅ SU WOOCOMMERCE,FAN1076136,FAN1076136,COLOR ZOOM 7.0 100 ML.,30,33,DIRETTO (SKU=COD),100,CREMA COLORE PER CAPELLI 100 ML COLORZOOM 10 MINUTI 7.0 BIONDO-FANOLA,126,0506HM69EN3,https://www.amazon.it/dp/B09QNLPC72,
FAN1076137,,✅ SU WOOCOMMERCE,FAN1076137,FAN1076137,COLOR ZOOM 8.0 100 ML.,22,22,DIRETTO (SKU=COD),100,CREMA COLORE PER CAPELLI 100 ML COLORZOOM 10 MINUTI 8.0 BIONDO CHIARO-FANOLA,126,0506HM0RYDF,https://www.amazon.it/dp/B09QNJLGWS,
FAN1076138,,✅ SU WOOCOMMERCE,FAN1076138,FAN1076138,COLOR ZOOM 9.0 100 ML.,21,22,DIRETTO (SKU=COD),100,CREMA COLORE PER CAPELLI 100 ML COLORZOOM 10 MINUTI 9.0 BIONDO CH.MO-FANOLA,126,0506HM8RNET,https://www.amazon.it/dp/B09QP1VVJ1,
FAN1076139,,✅ SU WOOCOMMERCE,FAN1076139,FAN1076139,COLOR ZOOM 10.0 100 ML.,21,15,DIRETTO (SKU=COD),100,CREMA COLORE PER CAPELLI 100 ML COLORZOOM 10 MINUTI 10.0 BIONDO PLATINO-FANOLA,126,0506HM8XSBC,https://www.amazon.it/dp/B09QNJ3ZXJ,
FAN1076140,,✅ SU WOOCOMMERCE,FAN1076140,FAN1076140,COLOR ZOOM 6.01 100 ML.,12,7,DIRETTO (SKU=COD),100,TINTURA CAPELLI 100ML COLORZOOM 10MINUTI 6.01 BIONDO SCURO NAT.LE CENERE FANOLA,126,0506HM0TO3C,https://www.amazon.it/dp/B09QP5222P,
FAN1076141,,✅ SU WOOCOMMERCE,FAN1076141,FAN1076141,COLOR ZOOM 8.01 100 ML.,9,9,DIRETTO (SKU=COD),100,TINTURA CAPELLI 100ML COLORZOOM 10MINUTI 8.01 BIONDO CHIARO NAT.LE CENERE-FANOLA,126,0506HM5M8H1,https://www.amazon.it/dp/B09QNBDZKJ,
FAN1076142,,✅ SU WOOCOMMERCE,FAN1076142,FAN1076142,COLOR ZOOM 4.71 100 ML.,2,2,DIRETTO (SKU=COD),100,TINTURA PER CAPELLI 100ML COLORZOOM 10 MINUTI 4.71 CASTANO MARRONE FREDDO-FANOLA,126,0506HM9B9HK,https://www.amazon.it/dp/B09QNGFPX6,
FAN1076143,,✅ SU WOOCOMMERCE,FAN1076143,FAN1076143,COLOR ZOOM 6.71 100 ML.,6,6,DIRETTO (SKU=COD),100,TINTURA CAPELLI 100ML COLORZOOM 10MINUTI 6.71 BIONDO SCURO MARRONE FREDDO-FANOLA,126,0506HM66GF7,https://www.amazon.it/dp/B09QNQL5BY,
FAN1076144,,✅ SU WOOCOMMERCE,FAN1076144,FAN1076144,COLOR ZOOM 6.3 100 ML.,9,9,DIRETTO (SKU=COD),100,CREMA COLORE PER CAPELLI 100ML COLORZOOM 10MINUTI 6.3 BIONDO SCURO DORATO-FANOLA,126,0506HM3GUBR,https://www.amazon.it/dp/B09QNQL45T,
FAN1076145,,✅ SU WOOCOMMERCE,FAN1076145,FAN1076145,COLOR ZOOM 8.3 100 ML.,3,7,DIRETTO (SKU=COD),100,CREMA COLORE CAPELLI 100 ML COLORZOOM 10 MINUTI 8.3 BIONDO CHIARO DORATO-FANOLA,126,0506HM8O8F9,https://www.amazon.it/dp/B09QNTGMKF,
FAN1076146,,✅ SU WOOCOMMERCE,FAN1076146,FAN1076146,COLOR ZOOM 5.4 100 ML.,7,7,DIRETTO (SKU=COD),100,CREMA COLORE CAPELLI 100 ML COLORZOOM 10 MINUTI 5.4 CASTANO CHIARO RAME-FANOLA,126,0506HMF5RQ1,https://www.amazon.it/dp/B09QNR7PZY,
FAN1076147,,✅ SU WOOCOMMERCE,FAN1076147,FAN1076147,COLOR ZOOM 7.4 100 ML.,5,9,DIRETTO (SKU=COD),100,CREMA COLORE PER CAPELLI 100 ML COLORZOOM 10 MINUTI 7.4 BIONDO RAME-FANOLA,126,0506HM69BMQ,https://www.amazon.it/dp/B09QNXTTPY,
FAN1076148,,✅ SU WOOCOMMERCE,FAN1076148,FAN1076148,COLOR ZOOM 4.5 100 ML.,5,9,DIRETTO (SKU=COD),100,CREMA COLORE PER CAPELLI 100 ML COLORZOOM 10 MINUTI 4.5 CASTANO MOGANO-FANOLA,126,0506HM9DI9Q,https://www.amazon.it/dp/B09QNVF61R,
FAN1076149,,✅ SU WOOCOMMERCE,FAN1076149,FAN1076149,COLOR ZOOM 5.2 100 ML.,2,8,DIRETTO (SKU=COD),100,CREMA COLORE CAPELLI 100 ML COLORZOOM 10 MINUTI 5.2 CASTANO CHIARO VIOLA-FANOLA,126,0506HMBIGHC,https://www.amazon.it/dp/B09QNVWLVH,
FAN1076150,,✅ SU WOOCOMMERCE (codice NON unico),FAB1076150,FAN1076150,COLOR ZOOM 6.6 100 ML.,,6,🟡 INCERTO (68.9%),689,CREMA COLORE PER CAPELLI 100ML COLORZOOM 10 MINUTI 6.6 BIONDO SCURO ROSSO-FANOLA,126,0506HM376TD,https://www.amazon.it/dp/B09QNG99J5,
FAN1076150,,✅ SU WOOCOMMERCE (codice NON unico),FAB1076150,FAN86060,CREMA COLORE 6.6 BIONDO SCURO ROSSO FANOLA,0,6,🟡 INCERTO (68.9%),689,CREMA COLORE PER CAPELLI 100ML COLORZOOM 10 MINUTI 6.6 BIONDO SCURO ROSSO-FANOLA,126,0506HM376TD,https://www.amazon.it/dp/B09QNG99J5,
FAN1076151,,✅ SU WOOCOMMERCE,FAN1076151,FAN1076151,COLOR ZOOM 5.7 100 ML.,9,9,DIRETTO (SKU=COD),100,CREMA COLORE CAPELLI 100ML COLORZOOM 10 MINUTI 5.7 CASTANO CHIARO MARRONE-FANOLA,126,0506HM8MWTN,https://www.amazon.it/dp/B09QNLW8FN,
FAN1076152,,✅ SU WOOCOMMERCE,FAN1076152,FAN1076152,COLOR ZOOM 7.7 100 ML.,10,10,DIRETTO (SKU=COD),100,CREMA COLORE PER CAPELLI 100 ML COLORZOOM 10 MINUTI 7.7 BIONDO MARRONE-FANOLA,126,0506HM9B2D8,https://www.amazon.it/dp/B09QNPJ43F,
