ID,Tipo,SKU,"GTIN, UPC, EAN, o ISBN",Nome,Pubblicato,In primo piano?,Visibilità nel catalogo,Breve descrizione,Descrizione,Data di partenza del prezzo in saldo,Data in cui termina l'offerta,Stato delle imposte,Aliquota di imposta,In stock?,Magazzino,Quantità in magazzino bassa,Abilita gli ordini arretrati?,Venduto singolarmente?,Peso (kg),Lunghezza (cm),Larghezza (cm),Altezza (cm),Permetti le recensioni clienti?,Nota di acquisto,Prezzo in offerta,Prezzo di listino,Categorie,Tag,Classe di spedizione,Immagine,Limite di download,Scarica i giorni di scadenza,Genitore,Prodotti raggruppati,Up-sell,Cross-sell,URL esterno,Testo del pulsante,Posizione,Marchi,Meta: _asin,Meta: _amazon_url,Meta: _et_builder_dynamic_assets_loading_attr_threshold,Meta: _last_change_time,Meta: _et_pb_post_hide_nav,Meta: _et_pb_page_layout,Meta: _et_pb_side_nav,Meta: _et_pb_use_builder,Meta: _et_pb_first_image,Meta: _et_pb_truncate_post,Meta: _et_pb_truncate_post_date,Meta: _et_pb_old_content
,simple,FAN86163,,Matrix Trattamenti per la ricrescita dei capelli - 1000 ml,1,,visible,,,,,taxable,,0,0,,,0,,,,,,,,,Fanola,,,,,,,,,,,,,,0206HF1VPAE,https://www.amazon.it/dp/B00PZ0Z956,,,,,,,,,,
,simple,FAN86164,,"Fanola Acqua ossigenata profumata, 1000 ml",1,,visible,,,,,taxable,,1,20,,,0,,,,,,,,9.50,Fanola,,,,,,,,,,,,,,0205HCJE95E,https://www.amazon.it/dp/B00PZ0Z2K8,,,,,,,,,,
,simple,FAN86173,,"Fanola Oro Therapy 24K Tinta per capelli, 100 ml, colorante permanente per capelli senza ammoniaca, arricchito con cheratina, olio di argan, oro puro micro-attivo, per la massima copertura, perfetta e uniforme, per colori brillanti, intensi, di lunga durata 100mL",1,,visible,,,,,taxable,,0,0,,,0,,,,,,,,11.80,Fanola,,,,,,,,,,,,,,0514HKKIV1N,https://www.amazon.it/dp/B01EJZYYEY,,,,,,,,,,
,simple,FAN86175,,FANOLA TINTURA ORO THERAPY COLOR KERATIN SENZA AMMONIACA 7.34,1,,visible,,,,,taxable,,0,0,,,0,,,,,,,,11.80,Fanola,,,,,,,,,,,,,,0430H2LYWP6,https://www.amazon.it/dp/B01EK00FAA,,,,,,,,,,
,simple,FAN86276,,FANOLA Smacchiatore 150ml Stain Remover,1,,visible,,,,,taxable,,1,23,,,0,,,,,,,,12.50,Fanola,,,,,,,,,,,,,,0514HJLVR0P,https://www.amazon.it/dp/B07JPM4YSV,,,,,,,,,,
,simple,FAN86296,,Fanola WONDER Smooth Extra Care Siero 100 ml,1,,visible,,,,,taxable,,0,0,,,0,,,,,,,,16.30,Fanola,,,,,,,,,,,,,,0514HJLYYRD,https://www.amazon.it/dp/B0DZWWGR1N,,,,,,,,,,
,simple,FAN86305,,"Fanola - Crema colorante per capelli, 8.11 biondo chiaro cenere intenso, 100 ml",1,,visible,,,,,taxable,,1,6,,,0,,,,,,,,,Fanola,,,,,,,,,,,,,,0424HAFY4VC,https://www.amazon.it/dp/B00PZ0PJAQ,,,,,,,,,,
,simple,FAN86306,,"Fanola Hair Color Crema colorante 9.11 Biondo chiaro cenere, 100 ml",1,,visible,,,,,taxable,,1,9,,,0,,,,,,,,,Fanola,,,,,,,,,,,,,,0424HAG0VE9,https://www.amazon.it/dp/B00PZ0P640,,,,,,,,,,
,simple,FAN86309,,Fanola - Tinta per capelli 100 ml Colore 5.22,1,,visible,,,,,taxable,,0,0,,,0,,,,,,,,,Fanola,,,,,,,,,,,,,,0514HJLUQRD,https://www.amazon.it/dp/B07GFNKWQF,,,,,,,,,,
,simple,FAN86326,,FANOLA COLOR SUPERSCHIARENTI 12.7,1,,visible,,,,,taxable,,0,0,,,0,,,,,,,,,Fanola,,,,,,,,,,,,,,0514HJZWWMM,https://www.amazon.it/dp/B00PZ0YTDO,,,,,,,,,,
